Name,Email,Url,Phone,Security,Status,Latency
Radiantalecrim unipessoal Lda,Radiantalecrim@gmail.com,https://www.instagram.com/marianushamburgueriaartesanal/,927511786,True,200,0.4
Ugly Smash Burgers,geral@uglysmashburgers.com,https://www.instagram.com/ugly_smashburgers/,Not Listed,True,200,0.39
Restaurante Zé Pinto,Not Listed,https://www.facebook.com/zepintorestaurante/?locale=pt_pt,217787783,True,400,0.22
Restaurante Churrasqueira Os Martins,restauranteosmartins@clix.pt,https://www.facebook.com/restauranteosmartins/?tn-str=k*F,214919285,True,400,0.2
Dias Martins Lda,Not Listed,http://www.facebook.com/restaurantebeiraalta/info,Not Listed,True,400,0.23
Mlpt Unipessoal Lda,Not Listed,http://www.facebook.com/maislaserportugal,Not Listed,True,400,0.16
Bula Bula-Mozambique Soul,Not Listed,http://www.instagram.com/bulabula_restaurant/,918989997,True,200,0.24
Mercearia do Prato,Not Listed,http://www.facebook.pt/merceariadoprato,263048959,True,400,0.17
Café Restaurante - Nainaza,Not Listed,http://www.facebook.com/restaurante.nainaza,968643401,True,400,0.16
Café Galeria House of Wonders,anna@house-of-wonders.eu,http://www.facebook.com/houseofwonders,Not Listed,True,400,0.19
Vanillaleader Unipessoal Lda,Not Listed,http://www.facebook.com/flamingocafecascais/info?tab=page_info,929147232,True,400,0.17
Churrasqueira A Despensa,adespensa@guiadosrestaurantes.net,http://www.facebook.com/a.despensa.cascais,214839916,True,400,0.2
Paulo José Ribeiro Figueira Unipessoal Lda,baiukagrill@gmail.com,http://www.facebook.com/baiukabar.restaurante,Not Listed,True,400,0.18
Cantinho dos Amigos Indústria Hoteleira Lda,Not Listed,http://www.facebook.com/cantinho-dos-amigos-indhotlda-1700703696849188/?rf=154493631361274,Not Listed,True,400,0.19
Dias Relaxantes-Actividades Hoteleiras Lda,Not Listed,http://www.facebook.com/restaurante-o-nosso-cantinho-247229812113721,Not Listed,True,400,0.2
Carlos Albuquerque Baptista Lda,Not Listed,http://www.facebook.com/barloureiro,219292581,True,400,0.19
Vintage Kingdom,onofrecatering@gmail.com,http://www.facebook.com/onofrerestaurante/?ref=page_internal,910393391,True,400,0.21
1040 Restaurante Lda,Not Listed,http://instagram.com/quintosabor.cascais,Not Listed,True,200,0.26
Restaurante Mediactico,Not Listed,http://www.facebook.com/mediactico,Not Listed,True,400,0.16
Aventuras Salgadas  Lda,Not Listed,http://www.facebook.com/take-away-dom-tonho-2155140761381889,Not Listed,True,400,0.2
Luís & Santos  Unipessoal Lda,tiagocosta_2000@hotmail.com,http://www.facebook.com/csbpampilho?fref=ts,Not Listed,True,400,0.16
Salvatori & Vargas-Taberna Steakhouse Grill Lda,tabernasteakhouse@gmail.com,http://www.facebook.com/tabernasteakhouse,Not Listed,True,400,0.17
Restaurante O Mira,Not Listed,http://www.facebook.com/restauranteomira,214688069,True,400,0.17
Cakeria Miss Bruna - Comércio e Indústria,cakeriabybc@gmail.com,http://www.facebook.com/cakeriabybrunacorrea,966735040,True,400,0.21
Ramos & Ramos-Restaurante Maré Alta Lda,Not Listed,http://facebook.com/pages/restaurante-mar%c3%a9-alta/128005474038251,214822268,True,400,0.15
Alegria Vadia,Not Listed,http://www.facebook.com/alegriavadia,211304207,True,400,0.17
Shiraz-Restaurants Unipessoal Lda,Not Listed,http://www.facebook.com/restaurentshiraz,964262898,True,400,0.19
Atlantitempero Lda,Not Listed,http://www.facebook.com/ataskanareia,Not Listed,True,400,0.18
Restaurante Nami,Not Listed,http://www.facebook.com/nami.cascais88,214861243,True,400,0.16
A Nova Estrela,palb13@hotmail.com,http://www.facebook.com/pages/category/portuguese-restaurant/a-nova-estrela-231951743927920,916487418,True,400,0.18
Acordesoltos Lda,Not Listed,http://www.facebook.com/mesadefradeslisboa/info?tab=overview,Not Listed,True,400,0.24
Restaurante Quinto Sabor,Not Listed,http://instagram.com/quintosabor.cascais?igshid=o4sr8zvvow7u,919790131,True,200,0.27
Restaurante Gigino & Gigetto,Not Listed,http://facebook.com/pages/category/pizza-place/gigino-e-gigetto-117235398470967,214871105,True,400,0.17
Joaquim Manuel Alves-Restauração e Eventos Unipessoal Lda,tascadavila@hotmail.com,http://www.facebook.com/restaurantetascadavila,214868897,True,400,0.18
