Name,Email,Url,Phone,Security,Status,Latency
CONDE13 LISBOA APARTHOTEL,info@conde13.com,http://www.conde13.com,‭+351914394848‬,False,CONNECTION_REFUSED,999
Garrincha,garrincha.lisbon@gmail.com,https://garrincha.restaurant/,214055860,False,CONNECTION_REFUSED,999
Churrasqueira Papinha Pronta,Not Listed,http://papinhapronta.com/,Not Listed,False,CONNECTION_REFUSED,999
Restaurante 1º Janeiro,Not Listed,NO WEBSITE,263732653,NULL,NO WEBSITE,NULL
Paiva & Ribeiro Lda,paula.rua.bolademel@gmail.com,http://www.bolademelpaularua.blogspot.com,Not Listed,False,404,0.49
Nina - Brunch & Speciality Coffee,jobs@ninabrunchcafe.pt,https://ninabrunchcafe.pt,Not Listed,True,200,10.24
Alqueva-Restaurante Bar Lda,restaurantealqueva@gmail.com,http://www.restaurantealqueva.com,Not Listed,False,CONNECTION_REFUSED,999
Nascer do Sol,Not Listed,http://nascer-do-sol-cafeteria.negocio.site,216045813,False,404,0.19
Restaurante Tempero Brasil,Not Listed,http://www.100supermercadosbrasil.com,Not Listed,False,CONNECTION_REFUSED,999
Churrasqueira Dom Gabrieis Lda,domgabrieis@hotmail.com,http://churrasqueira-bom-gosto.negocio.site,214927599,False,404,0.39
Restaurante Keshav,Not Listed,http://restaurantekeshav.pt,218056931,False,CONNECTION_REFUSED,999
Armando Leitão Rocha,Not Listed,http://www.oprego.com/,214955274,False,CONNECTION_REFUSED,999
Rocha & Fernandes Lda,Not Listed,http://www.obeirao.pt,Not Listed,False,200,0.74
A Flor da Falagueira-Vinhos e Comidas Lda,Not Listed,http://gastronomia.oninet.pt/restaurante/restaurante.asp?codrestaurante=8176,214933879,False,CONNECTION_REFUSED,999
Restaurante O Porcalho,Not Listed,http://www.oporcalho.pt.vu/,214936210,False,CONNECTION_REFUSED,999
Resigo-Actividades Hoteleiras Unipessoal Lda,ganhao@hotmail.com,http://www.gastronomias.com/ganhao/,Not Listed,False,200,0.09
